bu_code;bu_naam;wk_code;wk_naam;gm_code;gm_naam;pv_code;pv_naam;es_code;es_naam;la_code;la_naam
BU00030000;Appingedam-Centrum;WK000300;Wijk 00;GM0003;Appingedam;PV20;Groningen;ES01;Groningen;31;Nederland
BU00030001;Appingedam-West;WK000300;Wijk 00;GM0003;Appingedam;PV20;Groningen;ES01;Groningen;31;Nederland
BU00030002;Appingedam-Oost;WK000300;Wijk 00;GM0003;Appingedam;PV20;Groningen;ES01;Groningen;31;Nederland
BU00030007;Verspreide huizen Damsterdiep en Eemskanaal;WK000300;Wijk 00;GM0003;Appingedam;PV20;Groningen;ES01;Groningen;31;Nederland
BU00030008;Verspreide huizen ten zuiden van Eemskanaal;WK000300;Wijk 00;GM0003;Appingedam;PV20;Groningen;ES01;Groningen;31;Nederland
BU00030009;Verspreide huizen ten noorden van het Damsterdiep;WK000300;Wijk 00;GM0003;Appingedam;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100101;Centrum;WK001001;Centrum;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100202;Over de Gracht;WK001002;West;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100203;Scheepvaartbuurt;WK001002;West;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100204;Steenbakkersbuurt;WK001002;West;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100205;Tuikwerderrak;WK001002;West;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100221;Bosplan Tuikwerderrak;WK001002;West;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100306;Doklanden;WK001003;Farmsum;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100307;Farmsum;WK001003;Farmsum;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100308;Oosterveld;WK001003;Farmsum;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100309;Koveltemp;WK001003;Farmsum;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100410;Vliethoven;WK001004;Tuikwerd;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100411;Vogelbuurt;WK001004;Tuikwerd;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100412;Tuikwerd;WK001004;Tuikwerd;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100413;Oogstbuurt;WK001004;Tuikwerd;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100414;Rietkampen;WK001004;Tuikwerd;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100415;Kruidenoever;WK001004;Tuikwerd;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100416;Eelwerd;WK001004;Tuikwerd;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100417;Sikkel;WK001004;Tuikwerd;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100518;Fivelmonde;WK001005;Fivelzigt;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100519;Fivelzigt;WK001005;Fivelzigt;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100520;Dethmerseiland;WK001005;Fivelzigt;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100622;Kwelderland;WK001006;Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100623;Vestingbuurt;WK001006;Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100624;Landenbuurt;WK001006;Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100625;Zandplatenbuurt;WK001006;Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100626;Bornholm;WK001006;Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100646;Polarisbuurt;WK001006;Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100647;Schrijversbuurt;WK001006;Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100727;Uitwierde;WK001007;Buitengebied Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100728;Biessum;WK001007;Buitengebied Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100730;Nansum;WK001007;Buitengebied Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100733;Holwierde;WK001007;Buitengebied Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100734;Krewerd;WK001007;Buitengebied Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100735;Godlinze;WK001007;Buitengebied Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100736;Losdorp;WK001007;Buitengebied Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100737;Bierum;WK001007;Buitengebied Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100738;Spijk;WK001007;Buitengebied Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100739;Buitengebied Noord;WK001007;Buitengebied Noord;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
BU00100829;Weiwerd;WK001008;Oosterhorn;GM0010;Delfzijl;PV20;Groningen;ES01;Groningen;31;Nederland
